Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
prueba funcional respiratoria,pulmonary function test,NIH,NIH,PFR,PFT,Health,,,,,,,,,,,,,,,,,,
prueba no molecular,non-molecular test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
prueba prenatal no invasiva (PPNI),non-invasive prenatal testing ,NIH,NIH,,NIPT,Health,,,,,,,,,,,,,,,,,,
prueba rápida de inhibición de focos fluorescentes,rapid fluorescent foci inhibition test,CDC,CDC,,RFFIT,Health,,,,,,,,,,,,,,,,,,
prueba superada,cleared test,FDA,FDA,,,,,," A test that has been cleared by FDA, based on the manufacturer's data showing that it is similar to other tests that are already being sold. For a test that is similar to others already on the market and that is considered to have low risk to the user, manufacturers submit information to show that the test performs similarly to the other tests. The manufacturer submits the results in a ""premarket notification"" that FDA reviews. If FDA determines that the test is substantially equivalent to another test, the manufacturer can begin selling the test.",,,,,,,,,,,,,,,
prueba viral,viral test,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
pruebas complementarias,work-up,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
pruebas de campo,field tests,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas de COVID-19 para hacerse en casa,at-home COVID-19 tests,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas de detección,screening testing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas de diagnóstico,"diagnostic testing,imaging",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
pruebas de evaluación del recién nacido,newborn screening,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas de liberación de interferón gamma,interferon-gamma release assays,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas de venta libre,over-the-counter tests,FDA,FDA,,,,,,"Tests that can be purchased and used by anyone at home. These do not require a doctor's prescription. If manufacturers intend to sell their test kits over the counter, they must demonstrate that untrained lay persons can perform the tests and get good results.",,,,,,,,,,,,,,,
pruebas de venta sin receta,over-the-counter tests,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas del desarrollo,developmental screening,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pruebas funcionales respiratorias,pulmonary function test,CDC,CDC,,PFT,Health,,,,,,,,,,,,,,,Plural,,,
Pruebas genéticas,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
pruebas para hacerse en casa,"at-home tests,home tests",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
pseudohendidura,pseudocleft,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
psitacosis,psittacosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Publicación del blog de voz de la FDA,FDA Voice blog post,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
publicidad engañosa,misleading advertising,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
publicidad y promoción,advertising & promotion,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
puede,may,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
puericultura,puericulture,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pulsioximetría,pulse oximetry,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
pulverizador,grinder,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
punción lumbar,spinal tap,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
punción lumbar (PL),lumbar puncture ,NIH,NIH,,LP,Health,,,,,,,,,,,,,,,,,,
punción venosa,venipuncture,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
punta de goteo,drip tip,FDA,FDA,,,Health,Tobacco,,According to context,,,,,,,,,,,,,,,
punto,Issue,FDA,FDA,,,Health,Food Industry,,,,depend context,,,,,,,,,,,,,
punto de sutura,stitch,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
punto de venta,point of sale,FDA,FDA,,,Health,Tobacco,,"means any location at which a consumer can purchase or otherwise obtain tobacco products for personal consumption (parts 1140, 1143).",,,,,,,,,,,,,,,
punto de vista,approach,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
puntuación de riesgo,risk score,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
punzada,gnawing pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
pupa,pupa ,FDA,FDA,,,Health,Food MPM,,The stage between larva and adult in insects which undergo complete metamorphosis. It is a non-feeding and usually inactive stage.,,,,,,,,,,,,,,,
puro pequeño,little cigar,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
puros,cigar,FDA,FDA,,,Health,Tobacco,,means a tobacco product that: (1) is not a cigarette and (2) is a roll of tobacco wrapped in leaf tobacco or any substance containing tobacco (part 1143).,,,,,,,,,,,,,,,
puros premium,premium cigar,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
púrpura,purpura,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
púrpura de Schoenlein-Henoch,Henoch-Schonlein purpura,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
púrpura trombocitopénica imnunitaria (PTI),immune thrombocytopenia purpura ,NIH,NIH,,ITP,Health,,,,,,,,,,,,,,,,,,
púrpura trombocitopénica trombótica,thrombotic thrombocytopenic purpura,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
que acarrea,inherent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
que no responde al tratamiento,refractary,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
que presenta,presenting with,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
que pueda quedar embarazada,childbearing age,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
que reúne las condiciones,candidate,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
que reúne los requisitos,eligible,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
que vale la pena,meaningful,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
queilión,cheilion,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
queilosquisis,cheiloschisis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
quejas,Complaint,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
quelación,chelation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
queloide,keloid,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
queratitis,keratitis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
queratoconjuntivitis,keratoconjunctivitis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
queso blando,soft cheese,FDA,FDA,,,Health,Food Names,,,,,,,,,,,,,,,,,
queso no madurado,unripened cheese,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
quiescente,smoldering,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
quimera,"chimaera,chimera",CDC,CDC,,,"Health,Health",,,,,,,,chimaera,,,,,,,,,,
químico,chemist,FDA,FDA,,,Health,Veterinarian,,"a scientist who studies the chemical make-up of substances, like drugs, and how the substances can be changed.",,,,,,,,,,,,,,,
químicos nocivos en el humo de cigarrillo,harmful chemicals in cigarette smoke,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
quimioprofilaxis,chemoprophylaxis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
quimioterapia,chemotherapy,"CDC,NIA","CDC, NIA",,,Health,,,,,,,,,,,,,,,,,,
quimioterapia combinada,combination chemotherapy,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
quimioterapia multifarmacológica,combination chemotherapy,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
quiropraxia,chiropractic,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
quirúrgico,surgical,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
quiste,cyst,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rabdomiólisis,rhabdomyolysis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ración,serving,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
radical,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
radícula,radicle ,FDA,FDA,,,Health,Food MPM,,"Part of the seed embryo below the cotyledons, constituting the rudimentary root; in the cocoa bean, a hard, slender stalk about one-third the length of the bean (seed) situated at the hilum (broader) end.",,,,,,,,,,,,,,,
RADInfo,RADInfo,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
radiografía,X-ray,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
radiografía hecha en la cama,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
radionúclido,radionuclide,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
radioterapia,radiation therapy,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
radón,radon,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ralentizar,slows down,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ramas tensionadas,spring poles,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rango de McFarland,McFarland range,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rapé,snuff,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
rasgo,trait,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
rasgo de células falciformes (rasgo drepanocítico),sickle cell trait,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rasgo distintivo,feature,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
rastreabilidad,traceback,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Rastreador de Datos del COVID-19,COVID Data Tracker,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rastreo de contactos,contact tracing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
razón,ratio,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
razón estandarizada de incidencia (REI),standardized incidence ratio,NIH,NIH,,SIR,Health,,,,,,,,,,,,,,,,,,
razonable,fair,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
razonablemente previsibles,reasonably foreseeable,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
reacción en cadena de la polimerasa,polymerase chain reaction ,CDC,"FDA, CDC",PCR,PCR,Health,,,,,,,,,,,,,,,,,,
reacción en cadena de la polimerasa con transcripción inversa,reverse transcription-polymerase chain reaction,CDC,CDC,RT-PCR,RT-PCR,Health,,,,,,,,,,,,,,,,,,
reacción en cadena de la polimerasa cuantitativa,quantitative polymerase chain reaction,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
reactivo,reagent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
reactivos,reagents,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
realidad,fact,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
realización de autopruebas,self-testing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
realizar,conduct,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
reapertura,reopening,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rebelde,"intractable,wild",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
recabar,collect,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
recaída,relapse,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
recaudar,collect,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
receptor,recipient,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
receptor de trasplante,transplant recipient,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
receptores nicotínicos de la acetilcolina,nicotinic acetylcholine receptors,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
receta,prescription,NIH,NIH,,Rx,Health,,,,,,,,,,,,,,,,,,
recidiva,"recurrence,relapse",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
recidivar,recur,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
"recipientes, válvulas, mangueras y cabezales","""bowls, valves, hoses and heads""",FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
recoger,collect,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
recogida,collection,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
recolección,collection,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
recolector* o cosechador,harvester,FDA,FDA,,,Health,Food Industry,,,,*Codex Term; Cosechador; Pizcador,,,,,,,,,,,,,
reconocer,detect,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
recopilar,compile,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
recorrido,range,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
recuadro de advertencia,boxed warning,FDA,FDA,,,Health,Drugs,,,,,,,,,,,,,,,,,
recuento del medicamento,drug accountability,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
recuento sanguíneo,blood count,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
recuentos plaquetarios,platelet counts,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Red de Alerta sobre el Abuso de Drogas,Drug Abuse Warning Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red de Alertas de Salud (HAN) de los CDC,CDC’s Health Alert Network ,CDC,CDC,,HAN,Health,,,,,,,,,,,,,,,,,,
Red de Laboratorios de Detección de Resistencia a los Antibióticos,AR Lab Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red de Productos Agrícolas Frescos,Produce Safety Network (PSN),FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Red de Respuesta y Evaluación Coordinada para Brotes,Coordinated Outbreak Response and Evaluation Newtwork,FDA,FDA,,CORE,Health,Office Names,,,,"Sugestion: ""Red Coordinada de Respuesta y Evaluación de Epidemias."" When you use ""brote"" in Spanish you are usually required to explain what kind of brote (brote de cólera, brote de gripe, etc.); you don´t use the word by itself unless it is already clear what kind of ""brote"" you are talking about (e.g. ""El brote de cólera fue terrible. Las autaridades ya están respondiendo al brote."") ",,,,,,,,,,,,,
Red de Vigilancia de Hospitalizaciones por Influenza,Influenza Hospitalization Surveillance Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red de Vigilancia del Autismo y las Discapacidades del Desarrollo,Autism and Developmental Disabilities Monitoring Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"Red Nacional contra la Violación, el Abuso y el Incesto","""Rape, Abuse, and Incest National Network""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red Nacional de Información sobre Prevención,"National Prevention Information Network,NPIN",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
Red Nacional de Prevención de Defectos Congénitos,National Birth Defects Prevention Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red Nacional de Prevención del Suicidio,National Suicide Prevention Lifeline,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red Nacional de Seguridad en la Atención Médica,National Healthcare Safety Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Red Nacional Integral del Cáncer,National Comprehensive Cancer Network,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
redes sociales,social media,FDA,FDA,,,Health,Drug Development,,"Web-based tools that are used for computer-mediated communication. Social media may include but is not limited to: (1) blogs, (2) microblogs, (3) social networking sites, (4) professional networking sites, (5) thematic networking sites, (6) wikis, (7) mashups, (8) collaborative filtering sites, (9) media sharing sites, and others. (Source: Grajales III et al. 2014)",,,,,,,,,,,,,,,
redondeado,round,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
redondo,round,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
reducción del microorganismo,microbial die-off,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
reducir la propagación del COVID-19,reduce the spread of COVID-19,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
reducir y desacelerar la propagación,reduce and slow spread,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
reducir y desacelerar la transmisión,reduce and slow transmission,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
reempacar,repack,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
reempaque,re-packing,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
reempaquetado,repacking,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
reestructurar/renegociar,restructuring,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
reetiquetado,relabeling,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
reetiquetar,relabel,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
referencia,baseline,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
referencias bibliográficas,citations,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
referir,share,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
reflujo gastroesofágico,gastroesophageal reflux,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
refugio para desastres,disaster shelter,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
regentes,guiding,FDA,FDA,,,Health,Food Industry,,"guiding principles, guiding practices",,,,,,,,,,,,,,,
región lumbar,lower back,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
registro,recordkeeping,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
registro de alimentos reportables,reportable food registry ,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Registro de Casos de Muerte Súbita e Inesperada del Lactante (MSIL),Sudden Unexpected Infant Death  Case Registry,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Registro de Casos de Zika en el Embarazo y en los Bebés en los EE. UU.,U.S. Zika Pregnancy and Infant Registry,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Registro de Establecimientos Alimentarios,Food Facility Registration system,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
registro de medicación,medication tracker,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Registro Oficial,Official Registry,FDA,FDA,,,Health,Drug Development,,"El Registro Oficial (Federal Register), abreviado FR o a veces Fed. Reg. en inglés, es el diario oficial del Gobierno federal de los Estados Unidos que contiene la mayoría de las publicaciones y avisos públicos de rutina de los organismos gubernamentales. Es una publicación diaria (excepto en los feriados federales). El Registro Oficial es compilado por la Oficina del Registro Oficial (dentro de los Archivos Nacionales y Administración de Documentos) e impreso por la Oficina de Impresión del Gobierno. Las reglas definitivas promulgadas por una dependencia federal y publicadas en el Registro Oficial terminan siendo codificadas y reorganizadas por tema o contenido en el Código de Regulaciones Federales (CFR, por sus siglas en inglés), el cual se actualiza anualmente. El Registro Oficial no tiene restricciones de derechos de autor; como una obra del Gobierno de los Estados Unidos, es de dominio público. [1] Las citas del Registro Federal en inglés aparecen como [volumen] FR [número de página] ([fecha]); por ejemplo, 65 FR 741 (Jan. 6, 2000).",,,,,,,,,,,,,,,
Registro para la Vigilancia de Trastornos Hemorrágicos,Registry for Bleeding Disorders Surveillance,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
registros de salud electrónicos,electronic health records,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
registros de trazabilidad,traceability record,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
registros en papel,paper records,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
regla de consideración final,"""final """"deeming"""" rule""",FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
reglamentación,rulemaking,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
reglamentación de tabaco,tobacco rule,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
reglamentaciones,,FDA,FDA,,,,,,,,,,,,,,,,,,,,,
reglamento,"regulation,regulation",NIH,NIH,,,"Health,Health",Food Industry,,,,"Normativas, normas",,,,,,,,,,,,,
Reglamento Sanitario Internacional,International Health Regulations,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
reglas y regulaciones,rules & regulations,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
regulación génica,gene regulation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Regulación sobre la Certificación de Acreditadores Externos,Accredited Third-Party Certification Rule,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
regulaciones/normas,regulations,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
regular,periodic,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
regurgitación tricúspidea (RT),tricuspid regurgitation,NIH,NIH,,TR,Health,,,,,,,,,,,,,,,,,,
rehidratación,fluid resuscitation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
rejillas de ventilación,vents,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
relación,link,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
relación entre las ondas A/E,A/E ratio,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
relacionado con,associate,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
